Rank,Feature,Chi2_Score,P_Value,Significant
1,Sex,92.70244697888427,6.077838263534445e-22,True
2,Pclass,30.873699436634034,2.7537856320284722e-08,True
3,Embarked,10.20252465697047,0.0014024851739587356,True
4,Parch,10.097499111810386,0.001484706758688783,True
5,SibSp,2.5818653789895856,0.10809421012689446,False
